UID,Deck,Stack,Quantity,Face,Name,Flavor,Description,Prompts,Rule
36b811e8ff41b6f4b587363d234e94b9,CORE,Core Rules,1,Back,X-Card,,"Continue reading:\n""And if there is ever an issue, anyone can call for a break and we can talk privately. I know it sounds funny but it will help us play amazing games together and usually I'm the one who uses the X card to protect myself from all of you! Please help make this game fun for everyone. Thank you!""\n",,Lay this card at the center of the play area
36b811e8ff41b6f4b587363d234e94b9,CORE,Core Rules,1,Front,X-Card,,"Start the game by reading this text aloud:\n""I'd like your help. Your help to make this game fun for everyone. If anything makes anyone uncomfortable in any way, just lift this card up, or simply tap it. You don't have to explain why. It doesn't matter why. When we lift or tap this card, we simply edit out anything X-Carded.""\n",,Flip for the remainder of the text
1b52ce80530496998f00fc06b8a202d3,CORE,Core Rules (Crisis),1,Back,Uncertain Crisis,,"You may not flip any cards in front of you (e.g. Character cards) to generate hits.\nYou may flip shared cards (e.g. Plot cards) or draw/pick a new card (e.g. Condition card, Random oracle card).\n",,Flip this card when the crisis is past
1b52ce80530496998f00fc06b8a202d3,CORE,Core Rules (Crisis),1,Front,Uncertain Crisis,,"Some situations cannot be solved by skill or virtue, but only good fortune.\nWhen you encounter such a crisis, decide what it would take to escape it, such as leaving the area successfully.\n","•A chaotic natural disaster, such as flooding•Navigating a complex and ever-shifting maze•Entreating with capricious spirits or divinities","Define the scope of the crisis, and flip this card"
70ef7ce99ee5cd020cbbddae41929c24,CORE,Core Rules (Crisis),1,Back,Gauntlet Crisis,,"No card in front of you (e.g. Character cards) may be flipped more than once to generate a hit.\nYou may flip group cards (e.g. Plot cards) or draw/pick a new card (e.g. Condition card, Random oracle card).\n",,Flip this card when the crisis is past
70ef7ce99ee5cd020cbbddae41929c24,CORE,Core Rules (Crisis),1,Front,Gauntlet Crisis,,"Some situations are grueling and exhausting, wearing down your reserves faster than you can recover. Sooner or later, something has to give.\nWhen you encounter such a crisis, decide what it would take to survive it, such as escaping an enemy or saving a friend.\n",•A furious and violent chase•Survival in a hostile and dangerous environment•An extended and grueling magical ritual,"Define the scope of the crisis, and flip this card"
26f44a52145864d0d83a8a6b1805aca4,CORE,Core Rules (Crisis),1,Back,Overwhelming Crisis,,Immediately flip all Character cards in front of all players to their back side.\nCards may be flipped back and used in the usual way from then on.\n,,Flip this card when the crisis is past
26f44a52145864d0d83a8a6b1805aca4,CORE,Core Rules (Crisis),1,Front,Overwhelming Crisis,,"Some situations will wreck a character's plans and assumptions, or be so daunting they have no idea how to handle it at first.\nWhen you encounter such a crisis, decide what it would take to survive it, such as defeating an enemy or finding shelter.\n",•Final boss fights•Being sent to a new world•Confrontation with divine forces,"Define the scope of the crisis, and flip this card"
cc319e3e0ab4f8dafacfbe98b989b98f,CORE,Character (Focus),1,Back,Courage,"""Emory! Fall back! This isn't our fight!"" -- Tana
","Courage can twist into cowardice or recklessness. Not everyone knows the right time to run from a battle, or when a battle really needs to be fought. And not everyone is prepared to fight every battle they face.\n","•Boast of deeds undone or make promises you can't fulfill•Run away to avoid getting hurt, physically or emotionally•Seek glory or vengeance",Flip when a prompt is narrated by anyone.
cc319e3e0ab4f8dafacfbe98b989b98f,CORE,Character (Focus),1,Front,Courage,"""It doesn't matter if I win. It matters if I don't try."" -- Emory
","Courage is strength in the face of grief, pain, and fear.\nCourage lets you fight when afraid, speak when being shouted down, stand up when you're injured, or rebuke someone you respect.\n",•Honor or pride must be upheld•Someone or something near you has already suffered harm•Nobody else can or will take the risk,Flip to get a hit.
e3ba4c7e1c74c13bf5ccf7070a422281,CORE,Character (Focus),1,Back,Charm,"""Listen, city boy. Stop talking or I'll cut your tongue out."" -- Woody
","Some people can become enraptured by their own ability to impress and influence. They buy into the story they're selling, until reality intrudes.\nOthers see charm as deceit, and will trust you less.\n",•Show off needlessly•Push things for the sake of pushing•Take advantage of someone's emotions,Flip when a prompt is narrated by anyone.
e3ba4c7e1c74c13bf5ccf7070a422281,CORE,Character (Focus),1,Front,Charm,"""I only came here to see you!"" -- Basler
","Charm is about creating a bond with someone at will. You can get through situations with style, panache, or force of personality.\n",•Perform with grace and elegance•Get by on audacity•Gain someone's confidence,Flip to get a hit.
216b107f3ca7d2dbc1f2d51e79746d2d,CORE,Character (Focus),1,Back,Instinct,"""So, he was a king's guard in disguise. He looked like a bad guy!"" -- Woody
","Only fools rush in, and this time, you were the fool.\n",•Interrupt a plan mid-execution•Misjudge someone's intentions or actions•Screw something up by impulsively acting,Flip when a prompt is narrated by anyone.
216b107f3ca7d2dbc1f2d51e79746d2d,CORE,Character (Focus),1,Front,Instinct,"""My eye watches the target. My hand lets go the bowstring. I do nothing."" -- Woody
","Your heart, your conscience, a divine command, or something else outweighs reason when you act.\nInstinct lets you act when everything says to hesitate, when uncertainty overwhelms you, or when speed counts more than reason.\n",•Take decisive action now•Get an immediate read on a person or situation•Leap into an opportunity,Flip to get a hit.
e26f170536feb7a097f01f200408c1ed,CORE,Character (Focus),1,Back,Magic,"""The Power is much like the ocean. You can sail in it, or drown in it."" -- Tana
","When called, the Power always comes. That doesn't mean you can always command it. Even familiar workings can have surprising consequences.\n",•Face a cost you can't easily or immediately pay•Supply a rare material component or perform a ritual at specific place and time•Suffer a side effect or curse,Flip when a prompt is narrated by anyone.
e26f170536feb7a097f01f200408c1ed,CORE,Character (Focus),1,Front,Magic,"""I don't know, I just felt ... something ... flow through me!"" -- Tana
","The mystical, the eldritch, the arcane. The Power has many names. What do you call it?\nYou can achieve a variety of supernatural outcomes with magic, such as healing, curses, enchantments, and more.\n",•Place the impossible within reach•Mingle the material and the symbolic•Infuse the ordinary with awe and mystery,Flip to get a hit.
2e1aa5d9b6f7ee648be6cfb6e0992402,CORE,Character (Focus),1,Back,Secrets,"""You don't wanna know"" -- Basler
",The problem with secrets is keeping track of who knows what. The value of a secret is lost once it's revealed. And some secrets weigh on the conscience.\n,•Endure distrust from those around you•Reveal the wrong thing to the wrong person•Give yourself away at an inopportune moment,Flip when a prompt is narrated by anyone.
2e1aa5d9b6f7ee648be6cfb6e0992402,CORE,Character (Focus),1,Front,Secrets,"""Basler, where did you get that knife from?"" -- Tana
","You deal in concealment, stealth, and subterfuge. Your tools are things people don't want known, or weren't expecting. You could use hidden weapons, court gossip, cloak-and-dagger skulduggery, or the secrets of the heart.\n",•Acquire something from someone else without their knowledge•Reveal something you've been concealing•Avoid detection or culpability,Flip to get a hit.
a3e5e8c215aab0687fa239ea7d72f0c1,CORE,Character (Focus),1,Back,Tech,"""The gizmo broke and I gotta fix it. Well, at least I have my tools."" -- Basler
","Nothing works perfectly, especially new inventions that have seen more use than testing.\n",•The gadget has unexpected side effects or fails to work at a key moment•A gadget malfunctions or breaks in interesting ways•People distrust or avoid your strange science,Flip when a prompt is narrated by anyone.
a3e5e8c215aab0687fa239ea7d72f0c1,CORE,Character (Focus),1,Front,Tech,"""This gizmo can pick any lock in the kingdom!"" -- Basler
","You focus on science, technology, or artifice to get things done. This includes science like handguns or balloons, magitek such as crystal fire-rods, or alchemy such as healing potions.\n",•Fight using advanced weapons or protective gear•Overcome obstacles by deploying a gadget•Gain advantage against those unfamiliar with your tech,Flip to get a hit.
8a0f8f47f00c8e58f6b1bde4723aafb3,CORE,Character (Focus),1,Back,Training,"""Well, I can't pick locks with my fingernails, can I?"" -- Basler
","Your discipline is demanding, and while your body is versatile and powerful, it can't compete with everything.\n",•Face a problem that requires tools after all•Spend time honing yourself instead of accomplishing an important goal•Reveal your abilities to someone you'd rather not see them,Flip when a prompt is narrated by anyone.
8a0f8f47f00c8e58f6b1bde4723aafb3,CORE,Character (Focus),1,Front,Training,"""The mind directs the body's power. I get it now."" -- Basler
","Through exercise, mindfulness, and practice, you've learned to use your own mind and body as a tool.\nTraining lets you act with grace, power, and precision, or overcome mundane limits.\n","•Use your body's abilities in place of weapons, armor, or equipment•Focus inner strength to resist torment or temptation•Gain an understanding of someone from how they move",Flip to get a hit.
3d9435c41c2eeece9871bb6e86942208,CORE,Character (Focus),1,Back,Wits,"""When I said people were gullible, I didn't mean me too!"" -- Basler
","No battle plan survives contact with the enemy, but not all planners are humble enough to realize that. Getting by on the world can sometimes mean exploiting people, or seeming like you're doing so.\n",•Misjudge the strength of your position•Overplay your hand•Make someone else pay for your victory,Flip when a prompt is narrated by anyone.
3d9435c41c2eeece9871bb6e86942208,CORE,Character (Focus),1,Front,Wits,"""The world is full of opportunities!"" -- Basler
","Wits lets you make the most of everything around you. You turn difficulty into opportunity, find solutions within the problem you face, and look at situations in new ways.\n",•Find a way to turn strength to or from weakness•Devise a plan to deal with a problem•Realize a useful truth about a situation,Flip to get a hit.
7efabf2c58caf193a4eb0ca478bdd243,CORE,Character (Role),1,Back,Dreamer,,"When the gulf between is and ought becomes too much, which will you choose?","•Reject the real, denounce the realist•Forget that you have friends•Lose sight of your dream for a time",Flip when a prompt is narrated by anyone.
7efabf2c58caf193a4eb0ca478bdd243,CORE,Character (Role),1,Front,Dreamer,,"Tomorrow beckons, if you can fix today. You can't change the world alone. But you aren't, are you?",•Remind someone of their best self•Light a candle to spite the darkness•Defy what's possible with what's necessary,Flip to get a hit.
60d2479ccc7f7a6508f9c1073e992179,CORE,Character (Role),1,Back,Guardian,,"You control that which depends on you, and sometimes the weight grows too much.",•Assert your authority•Cast suspicion too widely•Shut down your feelings or shut out your charge,Flip when a prompt is narrated by anyone.
60d2479ccc7f7a6508f9c1073e992179,CORE,Character (Role),1,Front,Guardian,,You feel responsible for something or someone else. Their need propels you.,•Keep your charge safe from something•Identify and monitor a threat•Endure the unimaginable,Flip to get a hit.
a17e3da0949d4b3686e6fb37c283aa25,CORE,Character (Role),1,Back,Opportunist,,"There's only so much good luck to go around. Will you run out of yours, or take someone else's away?",•Kick someone when they're down•Betray a trust•Let someone else pay the price,Flip when a prompt is narrated by anyone.
a17e3da0949d4b3686e6fb37c283aa25,CORE,Character (Role),1,Front,Opportunist,,"Life is unpredictable. When an opening comes, seize it. When a chance comes, take it.",•Exploit or create a weakness•Employ misdirection or deception•Take a risk nobody else would,Flip to get a hit.
a07d10c6836b0a442d94f072dc5aff0f,CORE,Character (Role),1,Back,Performer,,"When anything you say matters, will you say the wrong thing, or for the wrong reasons?",•Outshine or embarrass someone important•Draw unwanted attention•Provoke an unintended reaction,Flip when a prompt is narrated by anyone.
a07d10c6836b0a442d94f072dc5aff0f,CORE,Character (Role),1,Front,Performer,,"Through actions and words, you entertain, persuade, or transform people around you.","•Embody grace, confidence, or poise•Inspire or incite people to act•Spark or manipulate emotion",Flip to get a hit.
e297b6bb65edef02cbede7b4b51e37e5,CORE,Character (Role),1,Back,Quester,,That which is greater than you can also crush you beneath it.,•Waver in your dedication to your quest•Shut others out of assisting you•Ignore mundane needs to focus on your quest,Flip when a prompt is narrated by anyone.
e297b6bb65edef02cbede7b4b51e37e5,CORE,Character (Role),1,Front,Quester,,"A vow, an ideal, a promise, a vision, a mission. Something drives you unstoppably onward.",•Make the hard choices your resolve demands•Rally others to your cause•Find a way forward despite everything,Flip to get a hit.
39b2ba36a2e6bdaab1af8ce9706f7972,CORE,Character (Role),1,Back,Rebel,,To be the worst of what they say you are. How easy to do it accidentally. How tempting to choose it.,•Make everything worse for yourself or an ally•Fall prey to temptation or darkness•Spark conflict or dissent,Flip when a prompt is narrated by anyone.
39b2ba36a2e6bdaab1af8ce9706f7972,CORE,Character (Role),1,Front,Rebel,,"Your power, presentation, reputation, or history cause common folk to fear or reject you.",•Use others' fears to your advantage•Surpass a limit or break a rule imposed by others•Make common cause with other rebels,Flip to get a hit.
d7389e866b10e24e82bd8141d47c4d80,CORE,Character (Role),1,Back,Soldier,,"Life is pain. There's no reward for this, only the next battle. When will you fall?",•Lash out at an easy target•Use your power selfishly•Dismiss the peaceful alternative,Flip when a prompt is narrated by anyone.
d7389e866b10e24e82bd8141d47c4d80,CORE,Character (Role),1,Front,Soldier,,"Life is struggle. Everyone has to fight, all the time. What do you fight for?",•Test your fate against an opponent•Make a sacrifice to turn the tide•Stand up when everything says to stay down,Flip to get a hit.
894071149575d4671752b1cdb3dbce83,CORE,Character (Role),1,Back,Synthesist,,"What or who will you unmake, in your goal of making something new?",•Tear down something valuable or important•Keep something going at great cost•Overuse the same solution,Flip when a prompt is narrated by anyone.
894071149575d4671752b1cdb3dbce83,CORE,Character (Role),1,Front,Synthesist,,"You create, fix, and remix.",•Make something new out of what's available•Repair or recreate something•Bring creativity to bear against a problem,Flip to get a hit.
fd28e2d8836fd05a3ae5b4daf3bc455e,CORE,Character (Upbringing),1,Back,Cosmopolitan,"""Do these wagon wheels fall off often?"" -- Emory
","You can mistake your breadth of experience for depth, and fail to hear wiser voices.\n",•Overestimate your own wisdom or experience•Lose focus of people as individuals•Treat one person as representative of a whole group,Flip when a prompt is narrated by anyone.
fd28e2d8836fd05a3ae5b4daf3bc455e,CORE,Character (Upbringing),1,Front,Cosmopolitan,"""The clear skies, the lure of the open road, it's perfect!"" -- Tana
","You've lived among people from all over. Maybe you lived in a bustling city, or traveled the world.\nYou've learned to approach situations by understanding many perspectives.\n",•Recall a story that inspires people to new ways of thinking•Bring a fresh perspective to a situation•Unite people by finding the common threads between them,Flip to get a hit.
15ecfff3a7a738a28056eb091d45662c,CORE,Character (Upbringing),1,Back,Industrious,"""Smells like cow breakfast"" -- Basler
","Some situations demand inspiration, not perspiration. Other times, the reality of repetitive work can lull you into boredom, distraction, or despair.\n",•Sacrifice tomorrow's hopes for today's needs•Demand someone else live up to your work ethic•Lose sight of something important,Flip when a prompt is narrated by anyone.
15ecfff3a7a738a28056eb091d45662c,CORE,Character (Upbringing),1,Front,Industrious,"""Take a deep breath of that farm air!"" -- Tana
","You grew up among farmers, trappers, city laborers, or other folk who made their way by the sweat of their brow. Others expected you to carry your own weight.\nYou've learned to approach situations with direct, hard work.\n","•Be sensitive to the rhythms around you--cycles of nature, or people's routines•Make do with what's on hand•Coordinate with others to get hard work done",Flip to get a hit.
0a6362e28abfda6515ac4c8f4972f3d4,CORE,Character (Upbringing),1,Back,Insular,"""Everything's different out here. That's why it's called a cloister"" -- Basler
",Your early life didn't prepare you for the variey of people and things the world has to offer. You might make a faux pas or ask an embarrassingly obvious question.\n,•Violate unspoken rules or cultural taboos•Cause conflict through misunderstanding•Fall back on questionable assumptions,Flip when a prompt is narrated by anyone.
0a6362e28abfda6515ac4c8f4972f3d4,CORE,Character (Upbringing),1,Front,Insular,"""This is all very different from the cloister"" -- Emory
","You grew up secluded from the rest of the world. Whether you lived on a lonely mountain village, a religious retreat, or a city enclave, the ways of the outside world are a mystery that must now be solved.\n",•Solve a problem using your peoples' ways•Ask naive but insightful questions•Reveal hidden knowledge or exclusive experience,Flip to get a hit.
614167077ef6ea94572af012c2c5d600,CORE,Character (Upbringing),1,Back,Mercantile,"""...For the right price."" -- Basler
","You know that some people have wants and needs, that others can satisfy them, and that power comes from mediating between the two.\nIt's easy to get addicted to that power.\n",•Compromise a principle or ideal for expedience•Put a price on service•Treat people as assets or commodities,Flip when a prompt is narrated by anyone.
614167077ef6ea94572af012c2c5d600,CORE,Character (Upbringing),1,Front,Mercantile,"""Welcome to the Labri Market! You can find anything here."" -- Basler
","You grew up among those who live via bargaining: a city's markets, an ocean trade route, or the corridors of power in an embassy or castle.\nYou've learned to approach situations through negotiation.\n",•Make a deal or haggle over details•Navigate a complex or ambiguous situation•Gauge someone's wants or needs,Flip to get a hit.
f6d35319869125c5a56c9aa1740786d0,CORE,Character (Upbringing),1,Back,Solitary,"""You've left yourself alone too long"" -- Tana
","Without experiencing what other people in your life can do, you may fear what you need most from them: an outlet. When you act distant, others will reciprocate.\n",•Accumulate emotional debt•Keep your reservations unspoken•Leave others behind to fend for themselves,Flip when a prompt is narrated by anyone.
f6d35319869125c5a56c9aa1740786d0,CORE,Character (Upbringing),1,Front,Solitary,"""I got this, leave me alone"" -- Woody
","For much of your life, you've been on your own. You might have been orphaned or abandoned or kidnapped. You might have run away from home, or home might no longer exist.\nYou've learned to approach situations through isolation.\n",•Shut out distractions•Present a reassuring facade•Keep moving even when hope is lost,Flip to get a hit.
1a44bb421715bd11b392e0ea6f9ec623,CORE,Character (Upbringing),1,Back,Strict,"""As opposed to ironclad thugs lording it over the peasants?"" -- Basler
","Committing to a way of life can help you push forward, but make you inflexible and stubborn.\n",•Refuse to adapt your code to new or difficult situations•See the world through a narrow lens•Disdain or punish those who don't conform to your expectations,Flip when a prompt is narrated by anyone.
1a44bb421715bd11b392e0ea6f9ec623,CORE,Character (Upbringing),1,Front,Strict,"""Knights should be glorious champions of honor!"" -- Emory
","There's a right and wrong way to do things. Right? You might be from a noble family where things are done just so, or grew up cautious thanks to constant danger.\nYou've learned to approach situations through protocol.\n",•Uphold a code of behavior in the face of doubt or weakness•Use the training or skills that led to your code's adoption•Inspire or counsel others using your code,Flip to get a hit.
ad987093b235733b23a608f0b0aece2c,CORE,Character (Upbringing),1,Back,Underclass,"""When everyone hates you, it's hard not to hate them back."" -- Basler
","Sometimes, circumstances push people to a breaking point. Other times, doing the right thing becomes impossible, and you're left with doing the necessary thing.\n",•Lash out at threats to your ego•Build yourself up in the eyes of the impressionable•Run afoul of those in power,Flip when a prompt is narrated by anyone.
ad987093b235733b23a608f0b0aece2c,CORE,Character (Upbringing),1,Front,Underclass,"""Nobody fights for people like us. So we fight for ourselves."" -- Basler
","You grew up among people who were neglected or rejected by a surrounding society: criminals, migrants, or members of a mistreated minority.\nYou've learned to approach situations via pride.\n",•Stand up for yourself and those like you•Rally the downtrodden•Obtain your needs through a social network,Flip to get a hit.
a9bf93c4de72a6832aeb08a2e848acae,CORE,Character (Upbringing),1,Back,Unfettered,"""Those who go their own way often find the path lonely."" -- Emory
","Rules aren't always made to be broken. You can offend others, or even hurt them or yourself when you go where you don't belong or do what you ought not do.\n",•Sabotage a subtle effort•Trample on a cherished tradition•Disappoint or frustrate a more cautious ally,Flip when a prompt is narrated by anyone.
a9bf93c4de72a6832aeb08a2e848acae,CORE,Character (Upbringing),1,Front,Unfettered,"""As a princess, I had power. As a ranger, I have freedom."" -- Woody
","Whether a scion of privilege, the free-spirited offspring of tolerant parents, or a feral child in a mystic forest, you've always done what you saw fit.\nYou've learned to approach situations through force of will.\n",•Force an issue or break a deadlock through action•Reject restrictions and break chains•Drag others along your unique path,Flip to get a hit.
50ed427eeb92f1ddfd2cd253631d06f9,CORE,Core Rules,1,Back,Character Cards,,"To create a new PC, pick three cards: Focus, Role, and Origin. You can choose cards at random, or select them yourself.\nThese cards describe the traits that you want to spotlight during the game. Just because someone else has the Courage card doesn't mean your character isn't courageous, only that it's not going to be the quality you're focusing on.\n",•Front: get a hit by flipping the card•Back: flip when a prompt is narrated by anyone,Other side is identical
50ed427eeb92f1ddfd2cd253631d06f9,CORE,Core Rules,1,Front,Character Cards,,"To create a new PC, pick three cards: Focus, Role, and Origin. You can choose cards at random, or select them yourself.\nThese cards describe the traits that you want to spotlight during the game. Just because someone else has the Courage card doesn't mean your character isn't courageous, only that it's not going to be the quality you're focusing on.\n",•Front: get a hit by flipping the card•Back: flip when a prompt is narrated by anyone,Other side is identical
1c002214966209ab2f1e5e8331e0691a,CORE,Core Rules,1,Back,Condition Examples,,Conditions are a way to achieve success at a cost.\n,"•You take Disarmed to score a final sword blow•Another player suggests that touching the idol will leave you Magicked•Take Weakened to stay within the poison cloud•You're already Hurt, but you can worsen it to Wounded to launch a final desperate attack•Spend a scene being healed by a priestess to discard Hurt, or a week of downtime doing odd jobs to discard Indebted",Flip to see rules
1c002214966209ab2f1e5e8331e0691a,CORE,Core Rules,1,Front,Condition Cards,,You can take a condition to get a hit. Describe how. You can flip a front-side condition to worsen it and get a hit. Describe how. Players who challenge you can suggest conditions to meet it.\nThe condition is fictionally true and limits your actions. Other players can pose a challenge if a condition would interfere with something you do. Discard any conditions that no longer apply in the fiction.\nIndividual condition cards describe how to clear them.\n,,Flip to see examples
d904928b8e0de04876bfd57c85033665,CORE,Condition,1,Back,Wounded,"""It's...just a scratch..."" -- Emory
","You've been seriously injured. Every step is painful, and it's hard to concentrate. You can't move very fast or fight effectively.\nWho or what holds you together until you can be treated? Will you have scars afterward?\n","•You suffered major blood loss•You broke a bone•You were pierced by arrows, spears, or claws",Discard by spending downtime attending to the condition.
d904928b8e0de04876bfd57c85033665,CORE,Condition,1,Front,Hurt,"""Ow! Watch who you carve up with that thing!"" -- Basler
","You've been bloodied, bruised, stunned, or suffered some other temporary physical harm. You can't exert yourself too much without making it worse.\n",•An enemy attacked you•You took a long fall or hit something heavy•You were in a natural disaster or magical calamity,Flip to worsen the condition and get a hit. Discard by spending a scene attending to the condition.
55abf3abb810d44d15021ef5a02997fb,CORE,Condition,1,Back,Exhausted,"""The leaf dragon's toxin got me... Sorry..."" -- Woody
","Your body is out of resources. You need rest, sustenance, or medication.\n",•Extended lack of sleep•Starvation or dehydration•Serious illness or poison•Delerium or hallucinations•Burns or frostbite,Discard by spending downtime attending to the condition.
55abf3abb810d44d15021ef5a02997fb,CORE,Condition,1,Front,Weakened,"""This forest goes on forever, Woody. Can we just stop a moment?"" -- Tana
","Your body is trying to keep itself going, but is under attack or is being deprived. You can't push yourself too hard, and it's hard to concentrate.\n","•Fatigue or sleep deprivation•Hunger and thirst•Poison, disease, or infection•Exposure to the elements",Flip to worsen the condition and get a hit. Discard by spending a scene attending to the condition.
1cd37cdf609d5ce8704d2ecb61bedf07,CORE,Condition,1,Back,Indebted,"""I kinda told the thieves' guild I'd take care of something"" -- Basler
","You have significant debts that demand repayment. Your creditor is watching,  and their rivals may offer you a devil's bargain to escape.\n",•Carry out illegal or dangerous activities•Work with a rival or enemy to achieve a goal•Sacrifice comrades or principles to avoid punishment,Discard by spending downtime attending to the condition.
1cd37cdf609d5ce8704d2ecb61bedf07,CORE,Condition,1,Front,Obliged,"""We will deal with the brigands, your highness."" -- Emory
","You have a responsibility and face punishment for failure or delay. Discharging the debt may be expensive, risky, or troublesome.\n",•Deliver an item or message to someone•Lean on an individual or group•Promise a favor later for a purchase now•Swear a magically binding oath,Flip to worsen the condition and get a hit. Discard by spending a scene attending to the condition.
4aa6bfbc7ada55beeca612d2e59358de,CORE,Condition,1,Back,Pursued,"""They definitely saw us!"" -- Basler
","You are being actively hunted by someone or something that wishes you ill. You must stay hidden, disguise yourself when in the open, and perhaps make dangerous deals with those who offer shelter.\n",•Wanted posters or official notices•Guards raised an alarm•You're in enemy territory or surrounded,Discard by spending downtime attending to the condition.
4aa6bfbc7ada55beeca612d2e59358de,CORE,Condition,1,Front,Wanted,"""I think they saw us."" -- Tana
","Someone or something powerful or dangerous is seeking you out, and you'd rather not be found. You risk discovery from guards, spies, or informants.\n",•You broke the law or offended someone important•Locals are suspicious•You attracted official attention•You're in a dangerous animal's territory,Flip to worsen the condition and get a hit. Discard by spending a scene attending to the condition.
0597608a72862363b8a9eb93e67aae76,CORE,Condition,1,Back,Cursed,"""That berry was delicious. Hey, who are all of you?"" -- Emory
","A powerful and baneful magic has you in its grip. You might be forced to act in certain ways, or barred from acting in others.\nThe rules of the curse may be a mystery. You may suffer pain or great misfortune violating them.\n",•Misfortune or calamity hounds you•A ban against doing some common thing,Discard by spending downtime attending to the condition.
